policy,backend,eval_mode,train_seed,episode_index,episode_seed,T_cap,total_watch,num_sessions,mean_within_episode_gap,median_within_episode_gap,fraction_returns_within_1_min,fraction_returns_within_5_min,late_night_session_start_count,late_night_session_start_rate,session_cap_triggered,session_cap_trigger_count,gap_count,gap_le1_count,gap_le5_count
PPO+Cap(120),param,deterministic,0,1,30000,120.0,21.385694639538844,14,107.26671624105143,109.49333297695932,0.0,0.0,4,0.2857142857142857,0,0,14,0,0
PPO+Cap(120),param,deterministic,0,2,30001,120.0,24.78251297462391,14,116.82859843070652,71.09282327845963,0.0,0.0,6,0.42857142857142855,0,0,14,0,0
PPO+Cap(120),param,deterministic,0,3,30002,120.0,15.433908381768969,14,103.86849435152193,109.73498285326924,0.0,0.0,4,0.2857142857142857,0,0,14,0,0
PPO+Cap(120),param,deterministic,0,4,30003,120.0,29.039077685241892,16,88.9193967679054,57.90450027575005,0.0,0.0,6,0.375,0,0,16,0,0
PPO+Cap(120),param,deterministic,0,5,30004,120.0,27.17270776343322,25,63.65379348668352,61.45019241319056,0.0,0.0,6,0.24,0,0,25,0,0
PPO+Cap(120),param,deterministic,0,6,30005,120.0,25.785302232925027,15,98.94141174878277,73.4430716177302,0.0,0.0,2,0.13333333333333333,0,0,15,0,0
PPO+Cap(120),param,deterministic,0,7,30006,120.0,33.16253896863826,20,70.7159104950173,60.01262381810834,0.0,0.0,8,0.4,0,0,20,0,0
PPO+Cap(120),param,deterministic,0,8,30007,120.0,22.11157152126771,12,128.3324425028945,160.9583959859208,0.0,0.0,6,0.5,0,0,12,0,0
PPO+Cap(120),param,deterministic,0,9,30008,120.0,12.101588926417463,13,119.99890707441713,79.37962144931579,0.0,0.0,2,0.15384615384615385,0,0,13,0,0
PPO+Cap(120),param,deterministic,0,10,30009,120.0,10.302273293374105,8,179.7834046167556,104.0250988535135,0.0,0.0,2,0.25,0,0,8,0,0
PPO+Cap(120),param,deterministic,0,11,30010,120.0,12.152949434485294,12,120.35586312372386,125.30783068933395,0.0,0.0,2,0.16666666666666666,0,0,12,0,0
PPO+Cap(120),param,deterministic,0,12,30011,120.0,47.04197254795764,28,50.157454275653706,39.83781780256504,0.0,0.0,6,0.21428571428571427,0,0,28,0,0
PPO+Cap(120),param,deterministic,0,13,30012,120.0,21.722027284451435,15,108.23699291612546,83.47450950742264,0.0,0.0,3,0.2,0,0,15,0,0
PPO+Cap(120),param,deterministic,0,14,30013,120.0,20.035394352646758,11,130.0690669222703,92.9945339831822,0.0,0.0,5,0.45454545454545453,0,0,11,0,0
PPO+Cap(120),param,deterministic,0,15,30014,120.0,24.192388431590377,10,149.09896771476605,152.23663643951386,0.0,0.0,4,0.4,0,0,10,0,0
PPO+Cap(120),param,deterministic,0,16,30015,120.0,14.202274207429499,11,155.32095737391222,146.6281204883033,0.0,0.0,2,0.18181818181818182,0,0,11,0,0
PPO+Cap(120),param,deterministic,0,17,30016,120.0,21.23976128450459,15,111.13346686295971,75.58647574754978,0.0,0.0,2,0.13333333333333333,0,0,15,0,0
PPO+Cap(120),param,deterministic,0,18,30017,120.0,26.856965199007675,16,97.46799675253088,85.32888718779681,0.0,0.0,2,0.125,0,0,16,0,0
PPO+Cap(120),param,deterministic,0,19,30018,120.0,18.323295139254554,16,114.05996548418811,50.479030206614055,0.0,0.0,6,0.375,0,0,16,0,0
PPO+Cap(120),param,deterministic,0,20,30019,120.0,41.845444267493,23,61.13758917594487,49.06080491221572,0.0,0.0,6,0.2608695652173913,0,0,23,0,0
