rollout_index,global_step,reward_per_rollout,NightMinutes_per_rollout,OverCapMinutes_per_rollout,reward_per_step,NightMinutes_per_step,OverCapMinutes_per_step,policy_entropy,lambda1,lambda2,completed_episodes,selected_checkpoint_step
1,2048,1670.0722236715687,599.5661749213469,95.57006379148072,0.8154649529646332,0.29275692134831394,0.046665070210683945,5.883552873972803,0.0,0.0,21,40960
2,4096,1677.720100655998,574.8557516843451,85.67647235773363,0.8191992678984366,0.28069128500212165,0.041834215018424624,5.829438391374424,0.0,0.0,23,40960
3,6144,1683.8831126309587,582.793655290914,76.50762280210074,0.8222085510893353,0.2845672144975166,0.03735723769633825,5.781678694067523,0.0,0.0,20,40960
4,8192,1652.6417102258172,583.3717837005752,110.06674772456249,0.8069539600711998,0.2848495037600465,0.05374352916238403,5.75042332126759,0.0,0.0,22,40960
5,10240,1735.0354518198358,650.2312158413101,84.30811953784516,0.8471852792089042,0.3174957108600147,0.041166073993088456,5.740437262924388,0.0,0.0,23,40960
6,12288,1635.0786581729635,659.2565339823677,103.22206007801904,0.7983782510610173,0.321902604483578,0.050401396522470235,5.725033902795985,0.0,0.0,24,40960
7,14336,1664.879160186455,683.2643416627254,76.27451894163033,0.8129292774347925,0.33362516682750265,0.037243417451967936,5.724023051327094,0.0,0.0,23,40960
8,16384,1753.7661168988116,656.688091531737,117.395289316194,0.8563311117669978,0.32064848219323094,0.05732191861142285,5.694841982796788,0.0,0.0,25,40960
9,18432,1701.9602355245024,542.7078174799557,115.89535092089088,0.8310352712521984,0.2649940515038846,0.05658952681684125,5.6914627477526665,0.0,0.0,22,40960
10,20480,1636.7631906146612,598.9887628151507,82.34913708310282,0.799200776667315,0.2924749818433353,0.0402095395913588,5.669299295172095,0.0,0.0,24,40960
11,22528,1718.0751011151694,692.4808280296925,59.642370702862216,0.8389038579663913,0.3381254043113733,0.02912225131975694,5.648033424280584,0.0,0.0,22,40960
12,24576,1728.184805296323,564.0059674110778,56.49273941579002,0.8438402369610952,0.2753935387749403,0.02758434541786622,5.644720917800441,0.0,0.0,23,40960
13,26624,1750.467871806288,606.6957521080949,55.100736211263126,0.8547206405304141,0.2962381602090307,0.026904656353155823,5.625387837411836,0.0,0.0,22,40960
14,28672,1718.78229566475,567.9551104693874,87.85827017715522,0.8392491678050538,0.27732183128388055,0.04289954598493907,5.613619557116181,0.0,0.0,23,40960
15,30720,1643.2681697736678,501.50841172346253,24.28531768884049,0.8023770360222987,0.24487715416184694,0.011858065277754145,5.595648662187159,0.0,0.0,23,40960
16,32768,1693.9511723001533,613.4662379584722,112.42381098776009,0.8271245958496842,0.29954406150316026,0.05489443895886723,5.565302011789754,0.0,0.0,21,40960
17,34816,1679.7752314255104,609.2776615576392,87.26288715351242,0.8202027497194875,0.29749885818244104,0.04260883161792599,5.562173805432394,0.0,0.0,22,40960
